"Country or Area","Year","Value"
"Bulgaria","2016","7048.42504404406"
"Bulgaria","2015","7339.67724815803"
"Bulgaria","2014","7389.6381695839"
"Bulgaria","2013","7495.52961126468"
"Bulgaria","2012","7605.03019805024"
"Bulgaria","2011","7972.47381044591"
"Bulgaria","2010","7736.22074157929"
"Bulgaria","2009","7760.80260710044"
"Bulgaria","2008","8097.760810051"
"Bulgaria","2007","8314.34881309423"
"Bulgaria","2006","8377.18573364736"
"Bulgaria","2005","8662.42748764119"
"Bulgaria","2004","9093.30344960271"
"Bulgaria","2003","9675.94499583331"
"Bulgaria","2002","9305.98110620129"
"Bulgaria","2001","9455.18991456231"
"Bulgaria","2000","10149.3978912895"
"Bulgaria","1999","10279.6965124376"
"Bulgaria","1998","10786.7212139494"
"Bulgaria","1997","11390.8917357139"
"Bulgaria","1996","11776.6416211912"
"Bulgaria","1995","11877.2974790971"
"Bulgaria","1994","11819.3431992459"
"Bulgaria","1993","13723.3305915786"
"Bulgaria","1992","14807.4046281026"
"Bulgaria","1991","15121.2010264339"
"Bulgaria","1990","16149.6136693347"
"Canada","2016","95628.8449892234"
"Canada","2015","99423.9570870035"
"Canada","2014","101002.838385412"
"Canada","2013","98574.6062314336"
"Canada","2012","96596.5471992495"
"Canada","2011","94252.9558593377"
"Canada","2010","94149.5136281313"
"Canada","2009","96670.999225392"
"Canada","2008","101731.890190322"
"Canada","2007","104897.882643651"
"Canada","2006","106832.01250036"
"Canada","2005","107524.98276183"
"Canada","2004","108597.099327626"
"Canada","2003","108072.522288892"
"Canada","2002","108934.548507776"
"Canada","2001","111055.842681944"
"Canada","2000","112363.826301386"
"Canada","1999","112438.296888193"
"Canada","1998","112606.781601493"
"Canada","1997","111221.20593302"
"Canada","1996","109375.007090318"
"Canada","1995","105784.830246305"
"Canada","1994","101677.093706851"
"Canada","1993","98044.0333654947"
"Canada","1992","94811.9823907665"
"Canada","1991","90299.8230453601"
"Canada","1990","88312.5533797277"
"Croatia","2016","3950.91866490945"
"Croatia","2015","3949.19733684221"
"Croatia","2014","3738.31033177704"
"Croatia","2013","3788.51393512824"
"Croatia","2012","3864.46515901285"
"Croatia","2011","3961.30467725293"
"Croatia","2010","3972.75327234546"
"Croatia","2009","3920.02005979834"
"Croatia","2008","3824.46896187399"
"Croatia","2007","3822.95114498923"
"Croatia","2006","3818.39349627316"
"Croatia","2005","3702.22343240192"
"Croatia","2004","3757.03315244782"
"Croatia","2003","3589.25254976438"
"Croatia","2002","3458.42101434886"
"Croatia","2001","3459.68581455667"
"Croatia","2000","3377.01237979319"
"Croatia","1999","3450.67320761903"
"Croatia","1998","3434.83978204206"
"Croatia","1997","3476.3415065767"
"Croatia","1996","3533.66837180967"
"Croatia","1995","3547.93490523628"
"Croatia","1994","3606.61317368105"
"Croatia","1993","3824.92378613584"
"Croatia","1992","3766.25930408738"
"Croatia","1991","4208.02351429347"
"Croatia","1990","4354.49212687428"
"Cyprus","2016","851.36066845"
"Cyprus","2015","822.086238025"
"Cyprus","2014","805.70974915"
"Cyprus","2013","805.965123125"
"Cyprus","2012","812.7330851"
"Cyprus","2011","823.9901137"
"Cyprus","2010","819.426486425"
"Cyprus","2009","812.306142225"
"Cyprus","2008","811.67133445"
"Cyprus","2007","813.30870155"
"Cyprus","2006","809.980629"
"Cyprus","2005","808.11940425"
"Cyprus","2004","824.964169"
"Cyprus","2003","829.142347"
"Cyprus","2002","837.396475"
"Cyprus","2001","813.250637"
"Cyprus","2000","781.78307325"
"Cyprus","1999","765.507269"
"Cyprus","1998","762.3140685"
"Cyprus","1997","761.01527725"
"Cyprus","1996","757.2515665"
"Cyprus","1995","740.5939485"
"Cyprus","1994","719.60962925"
"Cyprus","1993","706.70158525"
"Cyprus","1992","682.53201"
"Cyprus","1991","664.5769835"
"Cyprus","1990","653.09768"
"Czech Republic","2016","13771.5974771102"
"Czech Republic","2015","13993.0824755871"
"Czech Republic","2014","13925.4577632542"
"Czech Republic","2013","13923.2900861553"
"Czech Republic","2012","14500.3642433294"
"Czech Republic","2011","14512.6994610058"
"Czech Republic","2010","14479.1447446754"
"Czech Republic","2009","14264.0856511009"
"Czech Republic","2008","14609.7124874604"
"Czech Republic","2007","14485.1174193735"
"Czech Republic","2006","14918.16954157"
"Czech Republic","2005","14681.9171178879"
"Czech Republic","2004","14306.6121429847"
"Czech Republic","2003","14726.3684233137"
"Czech Republic","2002","14717.1589147662"
"Czech Republic","2001","15142.0559029365"
"Czech Republic","2000","15383.4724635467"
"Czech Republic","1999","16208.6029833178"
"Czech Republic","1998","16937.1434429736"
"Czech Republic","1997","17629.3852580016"
"Czech Republic","1996","18039.2816651864"
"Czech Republic","1995","18194.7707386029"
"Czech Republic","1994","18615.5277059901"
"Czech Republic","1993","19748.745128641"
"Czech Republic","1992","20673.3164736859"
"Czech Republic","1991","22040.2548939966"
"Czech Republic","1990","23613.4341064316"
"Denmark","2016","7057.37313362186"
"Denmark","2015","6942.01072611065"
"Denmark","2014","7010.88743328978"
"Denmark","2013","7010.46318130156"
"Denmark","2012","7111.81963446657"
"Denmark","2011","7236.61528377067"
"Denmark","2010","7398.76120132546"
"Denmark","2009","7336.41371112858"
"Denmark","2008","7478.53171283581"
"Denmark","2007","7610.17544841517"
"Denmark","2006","7626.53682300695"
"Denmark","2005","7720.43995066791"
"Denmark","2004","7956.16713838616"
"Denmark","2003","8132.8324425587"
"Denmark","2002","8124.58115894447"
"Denmark","2001","8196.71986634565"
"Denmark","2000","7958.33646060985"
"Denmark","1999","8065.4305813627"
"Denmark","1998","8161.10578912143"
"Denmark","1997","8105.23637813596"
"Denmark","1996","8213.90094185509"
"Denmark","1995","8099.08726869145"
"Denmark","1994","8022.79392441776"
"Denmark","1993","8131.20384951318"
"Denmark","1992","7935.66801804316"
"Denmark","1991","7857.91772726479"
"Denmark","1990","7667.67380852405"
"Estonia","2016","1057.96115171274"
"Estonia","2015","1056.64308729703"
"Estonia","2014","1097.95575858317"
"Estonia","2013","1138.10284959188"
"Estonia","2012","1146.16824238996"
"Estonia","2011","1127.04444148957"
